UPGRADED Optimization Log - Symbol: GBP - Date: 2026-05-13
Note: Only cycles with >= 5 trades are logged and counted.
----------------------------------------------------------------
Valid Cycle 085 (Attempt 177): PPH=2.63    | Trades=10  | H=25 M=13 L=10 Off=-0.83 Min=5 TP=10.0 SL=None
Valid Cycle 086 (Attempt 178): PPH=-2.19   | Trades=76  | H=24 M=22 L=3 Off=0.71 Min=3 TP=20.0 SL=20.0
Valid Cycle 087 (Attempt 182): PPH=0.76    | Trades=8   | H=23 M=22 L=6 Off=-0.92 Min=3 TP=30.0 SL=10.0
Valid Cycle 088 (Attempt 184): PPH=-2.53   | Trades=72  | H=41 M=23 L=7 Off=1.63 Min=2 TP=None SL=10.0
Valid Cycle 089 (Attempt 185): PPH=0.29    | Trades=21  | H=30 M=16 L=13 Off=1.11 Min=15 TP=10.0 SL=None
Valid Cycle 090 (Attempt 186): PPH=0.36    | Trades=17  | H=15 M=10 L=8 Off=1.96 Min=15 TP=None SL=None
Valid Cycle 091 (Attempt 189): PPH=2.72    | Trades=11  | H=46 M=13 L=5 Off=-0.78 Min=15 TP=50.0 SL=30.0
Valid Cycle 092 (Attempt 190): PPH=0.41    | Trades=21  | H=51 M=28 L=10 Off=1.03 Min=15 TP=10.0 SL=20.0
Valid Cycle 093 (Attempt 193): PPH=2.38    | Trades=31  | H=60 M=29 L=11 Off=1.64 Min=8 TP=10.0 SL=None
Valid Cycle 094 (Attempt 202): PPH=2.23    | Trades=43  | H=57 M=24 L=2 Off=0.65 Min=5 TP=20.0 SL=10.0
Valid Cycle 095 (Attempt 203): PPH=1.58    | Trades=21  | H=28 M=9 L=4 Off=0.23 Min=15 TP=10.0 SL=30.0
Valid Cycle 096 (Attempt 206): PPH=4.27    | Trades=20  | H=47 M=13 L=8 Off=0.39 Min=10 TP=50.0 SL=30.0
Valid Cycle 097 (Attempt 207): PPH=-0.78   | Trades=58  | H=36 M=13 L=9 Off=1.46 Min=3 TP=30.0 SL=10.0
Valid Cycle 098 (Attempt 210): PPH=3.92    | Trades=37  | H=50 M=27 L=15 Off=0.1 Min=5 TP=20.0 SL=None
Valid Cycle 099 (Attempt 215): PPH=0.03    | Trades=18  | H=50 M=11 L=2 Off=-0.11 Min=1 TP=10.0 SL=20.0
Valid Cycle 100 (Attempt 216): PPH=1.47    | Trades=30  | H=41 M=24 L=7 Off=1.53 Min=8 TP=None SL=30.0
