captured_at,source_timestamp,product,bid,ask,mid
2026-05-05T20:16:32.233895,2026-05-05T20:16:28.934149+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:16:35.147046,2026-05-05T20:16:28.934149+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:16:38.173145,2026-05-05T20:16:37.885833+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:16:41.247840,2026-05-05T20:16:37.885833+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:16:44.578608,2026-05-05T20:16:37.885833+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:16:48.083321,2026-05-05T20:16:46.659381+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:16:51.378127,2026-05-05T20:16:46.659381+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:16:54.410071,2026-05-05T20:16:46.659381+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:16:57.776247,2026-05-05T20:16:55.953644+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:00.927812,2026-05-05T20:16:55.953644+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:04.029337,2026-05-05T20:16:55.953644+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:07.411228,2026-05-05T20:17:04.841994+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:17:11.194569,2026-05-05T20:17:04.841994+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:17:14.699284,2026-05-05T20:17:13.278014+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:17.831602,2026-05-05T20:17:13.278014+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:21.078609,2026-05-05T20:17:13.278014+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:24.390878,2026-05-05T20:17:22.490070+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:27.857916,2026-05-05T20:17:22.490070+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:30.939558,2026-05-05T20:17:22.490070+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:34.106040,2026-05-05T20:17:31.613658+01:00,gbp,1.3546,1.35465,1.354625
2026-05-05T20:17:37.448646,2026-05-05T20:17:31.613658+01:00,gbp,1.3546,1.35465,1.354625
2026-05-05T20:17:40.897387,2026-05-05T20:17:40.056097+01:00,gbp,1.3546,1.35465,1.354625
2026-05-05T20:17:44.113474,2026-05-05T20:17:40.056097+01:00,gbp,1.3546,1.35465,1.354625
2026-05-05T20:17:47.351032,2026-05-05T20:17:40.056097+01:00,gbp,1.3546,1.35465,1.354625
2026-05-05T20:17:50.924315,2026-05-05T20:17:48.930192+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:54.071621,2026-05-05T20:17:48.930192+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:17:57.007278,2026-05-05T20:17:48.930192+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:00.341163,2026-05-05T20:17:57.557484+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:02.832394,2026-05-05T20:17:57.557484+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:05.989925,2026-05-05T20:17:57.557484+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:09.345631,2026-05-05T20:18:06.518596+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:11.665025,2026-05-05T20:18:06.518596+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:14.557142,2026-05-05T20:18:06.518596+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:17.647035,2026-05-05T20:18:15.724586+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:20.539271,2026-05-05T20:18:15.724586+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:23.230406,2026-05-05T20:18:15.724586+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:24.514230,2026-05-05T20:18:24.275909+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:27.888768,2026-05-05T20:18:24.275909+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:31.037838,2026-05-05T20:18:24.275909+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:34.281310,2026-05-05T20:18:33.245424+01:00,gbp,1.3546,1.35465,1.354625
2026-05-05T20:18:37.023454,2026-05-05T20:18:33.245424+01:00,gbp,1.3546,1.35465,1.354625
2026-05-05T20:18:40.311093,2026-05-05T20:18:33.245424+01:00,gbp,1.3546,1.35465,1.354625
2026-05-05T20:18:43.114479,2026-05-05T20:18:42.583449+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:46.771278,2026-05-05T20:18:42.583449+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:49.752010,2026-05-05T20:18:42.583449+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:18:53.159391,2026-05-05T20:18:50.954507+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:18:56.511392,2026-05-05T20:18:50.954507+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:18:59.694960,2026-05-05T20:18:50.954507+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:02.897473,2026-05-05T20:18:59.815937+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:06.293802,2026-05-05T20:18:59.815937+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:09.274513,2026-05-05T20:19:08.767819+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:12.909338,2026-05-05T20:19:08.767819+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:16.287692,2026-05-05T20:19:08.767819+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:19.427872,2026-05-05T20:19:17.794796+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:22.936372,2026-05-05T20:19:17.794796+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:26.410834,2026-05-05T20:19:17.794796+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:30.097497,2026-05-05T20:19:26.560376+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:33.156950,2026-05-05T20:19:26.560376+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:36.352215,2026-05-05T20:19:35.299771+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:39.961932,2026-05-05T20:19:35.299771+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:43.374533,2026-05-05T20:19:35.299771+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:47.032066,2026-05-05T20:19:44.471930+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:50.548641,2026-05-05T20:19:44.471930+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:52.527729,2026-05-05T20:19:44.471930+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:19:54.106474,2026-05-05T20:19:53.254979+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:55.631200,2026-05-05T20:19:53.254979+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:57.091724,2026-05-05T20:19:53.254979+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:58.475451,2026-05-05T20:19:53.254979+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:19:59.734002,2026-05-05T20:19:53.254979+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:20:01.007092,2026-05-05T20:19:53.254979+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:20:02.372066,2026-05-05T20:20:01.918309+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:03.718234,2026-05-05T20:20:01.918309+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:05.019494,2026-05-05T20:20:01.918309+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:06.292959,2026-05-05T20:20:01.918309+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:07.590022,2026-05-05T20:20:01.918309+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:08.885500,2026-05-05T20:20:01.918309+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:10.189949,2026-05-05T20:20:01.918309+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:11.433254,2026-05-05T20:20:10.723099+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:12.742559,2026-05-05T20:20:10.723099+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:14.109780,2026-05-05T20:20:10.723099+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:15.287418,2026-05-05T20:20:10.723099+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:16.560619,2026-05-05T20:20:10.723099+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:17.801513,2026-05-05T20:20:10.723099+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:19.052028,2026-05-05T20:20:10.723099+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:20.495336,2026-05-05T20:20:19.879427+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:20:21.972815,2026-05-05T20:20:19.879427+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:20:23.267197,2026-05-05T20:20:19.879427+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:20:24.496729,2026-05-05T20:20:19.879427+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:20:25.839694,2026-05-05T20:20:19.879427+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:20:27.206011,2026-05-05T20:20:19.879427+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:20:28.456051,2026-05-05T20:20:19.879427+01:00,gbp,1.3546,1.3547,1.35465
2026-05-05T20:20:29.693777,2026-05-05T20:20:28.520603+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:30.921833,2026-05-05T20:20:28.520603+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:32.187305,2026-05-05T20:20:28.520603+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:33.402355,2026-05-05T20:20:28.520603+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:34.663955,2026-05-05T20:20:28.520603+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:35.931892,2026-05-05T20:20:28.520603+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:37.163312,2026-05-05T20:20:28.520603+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:38.449159,2026-05-05T20:20:37.231913+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:39.732939,2026-05-05T20:20:37.231913+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:40.910568,2026-05-05T20:20:37.231913+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:42.093575,2026-05-05T20:20:37.231913+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:43.296283,2026-05-05T20:20:37.231913+01:00,gbp,1.35465,1.35475,1.3546999999999998
