open_hour,gap_threshold,date,timestamp,from_product,from_strategy,to_product,to_strategy,new_rank1_count_cum,held_rank1_count_cum,count_gap,bucket
0,20,2026-03-31,2026-03-31 20:45:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,119,98,21,50+
0,20,2026-04-01,2026-04-01 04:10:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,31,10,21,30-35
0,20,2026-04-06,2026-04-06 07:55:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,58,37,21,50+
0,20,2026-04-17,2026-04-17 04:20:00,EURAUD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,23,2,21,20-25
0,25,2026-03-26,2026-03-26 15:25:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,39,13,26,35-40
0,25,2026-04-01,2026-04-01 04:35:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,36,10,26,35-40
0,25,2026-04-06,2026-04-06 08:20:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,63,37,26,50+
0,25,2026-04-17,2026-04-17 04:45:00,EURAUD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,28,2,26,25-30
0,50,2026-03-26,2026-03-26 17:30:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,64,13,51,50+
0,50,2026-04-01,2026-04-01 06:40:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,61,10,51,50+
0,50,2026-04-06,2026-04-06 10:25:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,88,37,51,50+
0,75,2026-03-26,2026-03-26 19:35:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,89,13,76,50+
