date,time,event,from_product,from_strategy,from_rank,from_net,to_product,to_strategy,to_rank,to_net,source_file,open_hour
2026-04-08,2026-04-08T05:41:14.924073,open,,,,,GBPAUD_C,breakout_R_2_tp20.0_sl10.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-08\archive\044123\_summary_net_pre_auto_archive.json,1
2026-04-09,2026-04-09T16:32:35.519274,open,,,,,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,1,1255.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-09\_summary_net_pre_auto_archive.json,1
2026-04-10,2026-04-10T12:52:00.821411,open,,,,,GBPNZD_C,breakout_R_2_tp30.0_sl20.0,1,800.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-10\_summary_net_pre_auto_archive.json,1
2026-04-12,2026-04-12T23:59:46.324343,open,,,,,EURAUD_C,breakout_2_tp30.0_sl20.0,1,205.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-12\_summary_net.json,1
2026-04-13,2026-04-13T22:00:03.141229,open,,,,,EURAUD_C,breakout_R_2_tp30.0_sl50.0,1,560.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-13\archive\210025\_summary_net_pre_auto_archive.json,1
2026-04-14,2026-04-14T07:47:18.248163,open,,,,,GBPNZD_C,breakout_2_tp20.0_sl20.0,1,260.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-14\archive\064722\_summary_net_pre_auto_archive.json,1
2026-04-15,2026-04-15T03:36:35.222689,open,,,,,GBPEUR_C,breakout_2_tp30.0_sl20.0,1,280.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-15\archive\023655\_summary_net_pre_auto_archive.json,1
2026-04-15,2026-04-15T15:37:01.385791,replace,GBPEUR_C,breakout_2_tp30.0_sl20.0,218,60.0,EURAUD_C,breakout_R_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-15\archive\143713\_summary_net_pre_auto_archive.json,1
2026-04-15,2026-04-15T20:16:42.586494,replace,EURAUD_C,breakout_R_2_tp20.0_sl20.0,7,430.0,GBPNZD_C,breakout_2_tp5.0_sl3.0_6d09efd5,1,158940.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-15\_summary_net_pre_auto_archive.json,1
2026-04-15,2026-04-15T23:59:57.858866,replace,GBPNZD_C,breakout_2_tp5.0_sl3.0_6d09efd5,495,-170.0,GBPNZD_C,breakout_R_2_tp20.0_sl20.0,1,620.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-15\_summary_net.json,1
2026-04-16,2026-04-16T03:41:42.076198,open,,,,,EURAUD_C,breakout_2_tp20.0_sl20.0,1,180.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-16\archive\024147\_summary_net_pre_auto_archive.json,1
2026-04-16,2026-04-16T05:39:38.767286,replace,EURAUD_C,breakout_2_tp20.0_sl20.0,122,-40.0,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-16\archive\043942\_summary_net_pre_auto_archive.json,1
2026-04-16,2026-04-16T11:10:03.020382,replace,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,14,290.0,GBPNZD_C,breakout_2_tp10.0_sl20.0,1,480.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-16\archive\101025\_summary_net_pre_auto_archive.json,1
2026-04-16,2026-04-16T17:43:41.269645,replace,GBPNZD_C,breakout_2_tp10.0_sl20.0,125,-20.0,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,1,500.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-16\_summary_net_pre_auto_archive.json,1
2026-04-17,2026-04-17T07:09:13.471769,open,,,,,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,1,240.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-17\archive\060926\_summary_net_pre_auto_archive.json,1
2026-04-17,2026-04-17T16:32:49.502833,replace,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,189,10.0,GBPAUD_C,breakout_R_2_tp10.0_sl20.0,1,460.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-17\archive\153301\_summary_net_pre_auto_archive.json,1
2026-04-17,2026-04-17T20:59:42.409341,replace,GBPAUD_C,breakout_R_2_tp10.0_sl20.0,17,260.0,GBPEUR_C,breakout_R_2_tp10.0_sl20.0_12141c72,1,830.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-17\_summary_net_pre_auto_archive.json,1
2026-04-19,2026-04-19T23:02:09.854268,open,,,,,EURAUD_C,breakout_R_2_tp20.0_sl20.0,1,180.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-19\archive\220219\_summary_net_pre_auto_archive.json,1
2026-04-20,2026-04-20T01:28:46.267813,open,,,,,EURAUD_C,breakout_2_tp20.0_sl20.0,1,180.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\002853\_summary_net_pre_auto_archive.json,1
2026-04-20,2026-04-20T06:27:39.038477,replace,EURAUD_C,breakout_2_tp20.0_sl20.0,13,140.0,EURAUD_C,breakout_2_tp10.0_sl20.0,1,240.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\052752\_summary_net_pre_auto_archive.json,1
2026-04-20,2026-04-20T08:16:22.495092,replace,EURAUD_C,breakout_2_tp10.0_sl20.0,10,240.0,EURAUD_C,breakout_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\071633\_summary_net_pre_auto_archive.json,1
2026-04-20,2026-04-20T22:17:08.693611,replace,EURAUD_C,breakout_2_tp20.0_sl20.0,5,360.0,GBPEUR_C,breakout_2_tp10.0_sl5.0_26c3b7ba,1,452150.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\211753\_summary_net_pre_auto_archive.json,1
2026-04-20,2026-04-20T23:59:38.175809,replace,GBPEUR_C,breakout_2_tp10.0_sl5.0_26c3b7ba,missing,,EURAUD_C,breakout_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\_summary_net.json,1
2026-04-21,2026-04-21T03:31:32.390484,open,,,,,EURAUD_C,breakout_R_2_tp10.0_sl20.0,1,80.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-21\archive\023142\_summary_net_pre_auto_archive.json,1
2026-04-21,2026-04-21T07:03:38.103144,replace,EURAUD_C,breakout_R_2_tp10.0_sl20.0,65,80.0,GBPNZD_C,breakout_2_tp10.0_sl20.0,1,240.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-21\archive\060401\_summary_net_pre_auto_archive.json,1
2026-04-21,2026-04-21T09:12:30.913877,replace,GBPNZD_C,breakout_2_tp10.0_sl20.0,29,240.0,GBPAUD_C,breakout_Rev_2_tp3.0_sl3.0_437443b2,1,490.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-21\archive\081246\_summary_net_pre_auto_archive.json,1
2026-04-21,2026-04-21T12:36:50.653996,replace,GBPAUD_C,breakout_Rev_2_tp3.0_sl3.0_437443b2,56,110.0,GBPEUR_C,breakout_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-21\_summary_net_pre_auto_archive.json,1
2026-03-16,2026-03-16T04:19:28.326718,open,,,,,GBPAUD_C,breakout_R_Rev_4_tp10.0_sl20.0,1,185.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\041942\_summary_net_pre_auto_archive.json,2
2026-03-16,2026-03-16T06:28:27.874419,replace,GBPAUD_C,breakout_R_Rev_4_tp10.0_sl20.0,103,180.0,GBPNZD_C,breakout_4_tp10.0_sl5.0,1,347.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\062844\_summary_net_pre_auto_archive.json,2
2026-03-16,2026-03-16T07:35:39.579380,replace,GBPNZD_C,breakout_4_tp10.0_sl5.0,197,140.0,GBPAUD_C,breakout_R_Rev_4_tp20.0_sl20.0,1,497.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\073554\_summary_net_pre_auto_archive.json,2
